"selection1_image","selection1_url"
"https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Ontario.svg/150px-Flag_of_Ontario.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Ontario.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Quebec.svg/150px-Flag_of_Quebec.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Quebec.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Nova_Scotia_flag.svg/150px-Nova_Scotia_flag.svg.png","https://en.wikipedia.org/wiki/File:Nova_Scotia_flag.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_New_Brunswick.svg/150px-Flag_of_New_Brunswick.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_New_Brunswick.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Manitoba.svg/150px-Flag_of_Manitoba.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Manitoba.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_British_Columbia.svg/150px-Flag_of_British_Columbia.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_British_Columbia.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Prince_Edward_Island.svg/150px-Flag_of_Prince_Edward_Island.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Prince_Edward_Island.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Saskatchewan.svg/150px-Flag_of_Saskatchewan.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Saskatchewan.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Alberta.svg/150px-Flag_of_Alberta.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Alberta.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Newfoundland_and_Labrador.svg/150px-Flag_of_Newfoundland_and_Labrador.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_Newfoundland_and_Labrador.svg"